overs,score,wickets,saved_model,scorecard_replay,router_raw,phase,rule,b1,b1_balls,b2,b2_balls,set_batter_exposure,balls_since_wicket,partnership_solidity,runs_last_12,runs_last_18,wickets_last_12,v7_raw,v7_cal
13.4,122,2,0.4154095355695911,0.8379888268156425,0.649008066136626,mid,inn2_par_pp_mid,Ishan Kishan,32,Heinrich Klaasen,23,32.0,36.0,0.94,23.0,31.0,0.0,0.5779584227164996,0.5779584227164996
13.5,126,2,0.5459979482260324,0.8777777777777778,0.7199355965436733,mid,inn2_par_pp_mid,Ishan Kishan,33,Heinrich Klaasen,23,33.0,37.0,0.9583333333333336,26.0,34.0,0.0,0.6507656534512893,0.6507656534512893
14.0,126,2,0.4629532925547411,0.8777777777777778,0.7069965480639971,mid,inn2_par_pp_mid,Ishan Kishan,33,Heinrich Klaasen,24,33.0,38.0,0.9716666666666668,25.0,33.0,0.0,0.6163569749890537,0.6163569749890537
14.1,127,2,0.4412398077066968,0.8777777777777778,0.7025656576588362,mid,inn2_par_pp_mid,Ishan Kishan,33,Heinrich Klaasen,25,33.0,39.0,0.985,25.0,34.0,0.0,0.6010117754932626,0.6010117754932626
14.2,131,2,0.5785395962954605,0.8777777777777778,0.7313540515666908,mid,inn2_par_pp_mid,Ishan Kishan,34,Heinrich Klaasen,25,34.0,40.0,1.0,23.0,34.0,0.0,0.6656079882908947,0.6656079882908947
14.3,131,2,0.4967881329263627,0.8777777777777778,0.7214106436062409,mid,inn2_par_pp_mid,Ishan Kishan,34,Heinrich Klaasen,26,34.0,41.0,1.0,22.0,33.0,0.0,0.6240152714153663,0.6240152714153663
14.3,131,3,0.3574606727776843,0.7142857142857143,0.5817614308746788,mid,inn2_par_pp_mid,Ishan Kishan,34,Heinrich Klaasen,26,34.0,41.0,1.0,22.0,33.0,0.0,0.592727939813844,0.592727939813844
14.4,133,3,0.5505922545817276,0.7903225806451613,0.5992514591791787,mid,inn2_par_pp_mid,Ishan Kishan,35,Nitish Kumar Reddy,0,35.0,42.0,1.0,23.0,34.0,0.0,0.609999177394311,0.609999177394311
14.5,137,3,0.6008241922834944,0.8379888268156425,0.6408042767237792,mid,inn2_par_pp_mid,Ishan Kishan,35,Nitish Kumar Reddy,1,35.0,43.0,1.0,23.0,37.0,0.0,0.6650807387277748,0.6650807387277748
15.0,137,3,0.7786743904594569,0.7903225806451613,0.6142214144129414,mid,inn2_par_pp_mid,Ishan Kishan,36,Nitish Kumar Reddy,1,36.0,44.0,1.0,22.0,36.0,0.0,0.6437434780465027,0.6437434780465027
15.1,137,3,0.7463093432908107,0.7903225806451613,0.5951224159505155,mid,inn2_par_pp_mid,Ishan Kishan,36,Nitish Kumar Reddy,2,36.0,45.0,1.0,21.0,35.0,0.0,0.599319721332481,0.599319721332481
15.2,137,3,0.7184007637089913,0.5246234299718956,0.5103441606011893,mid,inn2_par_pp_mid,Ishan Kishan,37,Nitish Kumar Reddy,2,37.0,46.0,1.0,17.0,29.0,0.0,0.5373497594390044,0.5373497594390044
15.3,138,3,0.7145023193689595,0.4854051181938528,0.4854051181938528,mid,,Ishan Kishan,37,Nitish Kumar Reddy,3,37.0,47.0,1.0,17.0,29.0,0.0,0.522692034562408,0.522692034562408
15.3,139,3,0.7402333089827084,0.7142857142857143,0.5774783917671216,mid,inn2_par_pp_mid,Ishan Kishan,37,Nitish Kumar Reddy,3,37.0,47.0,1.0,17.0,29.0,0.0,0.5618459831023527,0.5618459831023527
15.4,140,3,0.7348085455266535,0.5569611892803921,0.5281343321237042,mid,inn2_par_pp_mid,Ishan Kishan,38,Nitish Kumar Reddy,3,38.0,48.0,1.0,17.0,29.0,0.0,0.5373786643655842,0.5373786643655842
15.5,144,3,0.7977004510996606,0.8379888268156425,0.616960143800565,mid,inn2_par_pp_mid,Ishan Kishan,38,Nitish Kumar Reddy,4,38.0,49.0,1.0,17.0,29.0,0.0,0.6294602172832429,0.6294602172832429
15.5,142,3,0.7535769761598807,0.7142857142857143,0.5777287275379503,mid,inn2_par_pp_mid,Ishan Kishan,38,Nitish Kumar Reddy,4,38.0,49.0,1.0,17.0,29.0,0.0,0.554745833554396,0.554745833554396
16.0,143,3,0.7715101443993455,0.7842888992254704,0.7842888992254704,death,,Ishan Kishan,39,Nitish Kumar Reddy,4,39.0,50.0,1.0,18.0,29.0,0.0,0.5286875168076994,0.5286875168076994
16.1,145,3,0.7926199253836044,0.7847613467998298,0.7847613467998298,death,,Ishan Kishan,40,Nitish Kumar Reddy,4,40.0,51.0,1.0,19.0,30.0,0.0,0.5508256595750314,0.5508256595750314
16.1,144,3,0.7634242849744055,0.7940442125456406,0.7940442125456406,death,,Ishan Kishan,40,Nitish Kumar Reddy,4,40.0,51.0,1.0,19.0,30.0,0.0,0.5219877812740303,0.5219877812740303
16.2,145,3,0.7608553372754069,0.799539305555933,0.799539305555933,death,,Ishan Kishan,40,Nitish Kumar Reddy,5,40.0,52.0,1.0,16.0,27.0,0.0,0.5127634259703124,0.5127634259703124
16.3,146,3,0.7540788571170765,0.8136080049715007,0.8136080049715007,death,,Ishan Kishan,41,Nitish Kumar Reddy,5,41.0,53.0,1.0,17.0,27.0,0.0,0.48858879579550096,0.48858879579550096
16.4,148,3,0.7728678677548115,0.8135704552355574,0.8135704552355574,death,,Ishan Kishan,41,Nitish Kumar Reddy,6,41.0,54.0,1.0,17.0,28.0,0.0,0.5018074790289935,0.5018074790289935
16.4,149,3,0.7879079906186512,0.8079862916949596,0.8079862916949596,death,,Ishan Kishan,41,Nitish Kumar Reddy,6,41.0,54.0,1.0,17.0,28.0,0.0,0.5261559671231459,0.5261559671231459
16.5,153,3,0.836242307904812,0.8132430391285939,0.8132430391285939,death,,Ishan Kishan,42,Nitish Kumar Reddy,6,42.0,55.0,1.0,12.0,18.0,0.5,0.6263842406639837,0.6263842406639837
