season,over,ball,overs,score,wickets_lost,target_above_par,current_run_rate,required_run_rate,overs_remaining,balls_remaining,resource_win_prob,partnership_solidity,set_batter_exposure,runs_last_18,near_srh_market_prob_norm,scorecard_replay,v7_cal,partnership_solidity_v2,set_batter_exposure_v2,recent_rate_edge_v2,recent_rate_positive_v2,chase_completion_v2,chase_completion_effect_v2,wicket_safety_v2,phase_pp_v2,phase_mid_v2,phase_late_mid_v2,phase_death_v2,target_below_par_v2,target_above_par_v2,target_par_v2,mid_accel_gate_v2,mid_accel_strength_v2,resource_context_global,resource_phase_target_context,resource_mid_accel_gate_only
2026,6,4,6.4,47.0,1,7.550000000000011,7.05,10.049999999999999,13.333333333333334,80,0.35437572422097746,0.7283333333333333,19.0,20.0,0.5093632958801498,0.1435925536836197,0.3581087502826636,0.7283333333333333,0.475,-0.5075,0.0,0.2596685082872928,0.0649171270718232,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3521444592200285,0.32532631957550595,0.35437572422097746
2026,6,5,6.5,47.0,1,7.550000000000011,6.878048780487805,10.177215189873419,13.166666666666666,79,0.3378406643964019,0.7416666666666667,19.0,20.0,0.4856429463171036,0.135995721416637,0.3369171745498401,0.7416666666666667,0.475,-0.5265822784810128,0.0,0.2596685082872928,0.0649171270718232,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33561227554744105,0.3093398280238851,0.3378406643964019
2026,7,1,7.0,53.0,1,7.550000000000011,7.571428571428571,9.846153846153847,13.0,78,0.3924261673221401,0.755,19.0,22.0,0.5354919053549191,0.2478435588871084,0.4135733471903743,0.755,0.475,-0.376923076923077,0.0,0.2977139124755062,0.17862834748530373,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44961520954412837,0.41733429936311056,0.3924261673221401
2026,7,1,7.1,54.0,1,7.550000000000011,7.534883720930233,9.896103896103895,12.833333333333334,77,0.38743180566774343,0.7733333333333333,20.0,19.0,0.5633456334563346,0.2478435564937988,0.3999937459300601,0.7733333333333333,0.5,-0.5344155844155842,0.0,0.2983425414364641,0.17900552486187846,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4402091994170384,0.4092098323154484,0.38743180566774343
2026,7,2,7.2,55.0,1,7.550000000000011,7.5,9.947368421052632,12.666666666666666,76,0.3822517672992034,0.7866666666666666,20.0,19.0,0.5693251533742332,0.2478435551059198,0.3973512658990688,0.7866666666666666,0.5,-0.5421052631578949,0.0,0.30386740331491713,0.18232044198895028,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43675609867281057,0.40547104063113315,0.3822517672992034
2026,7,3,7.3,56.0,1,7.550000000000011,7.466666666666667,10.0,12.5,75,0.3768819450106447,0.8049999999999999,21.0,20.0,0.5787545787545787,0.2448010794960342,0.3971707256111598,0.8049999999999999,0.525,-0.5,0.0,0.30939226519337015,0.18563535911602208,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4353462895621554,0.4034931485926183,0.3768819450106447
2026,7,4,7.4,56.0,2,7.550000000000011,7.304347826086956,10.135135135135135,12.333333333333334,74,0.3586533274999307,0.3299999999999999,21.0,20.0,0.4109090909090909,0.1444992438532728,0.2450073284250443,0.3299999999999999,0.525,-0.5202702702702702,0.0,0.30939226519337015,0.18563535911602208,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3195869186372668,0.28394364793370785,0.3586533274999307
2026,7,5,7.5,56.0,2,7.550000000000011,7.1489361702127665,10.273972602739727,12.166666666666666,73,0.3402637382178778,0.3333333333333333,19.0,19.0,0.3477272727272727,0.1421528977973067,0.2356520347951518,0.3333333333333333,0.475,-0.5910958904109591,0.0,0.30939226519337015,0.18563535911602208,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29976999460214027,0.26546196535469474,0.3402637382178778
2026,8,1,8.0,57.0,2,7.550000000000011,7.125,10.333333333333334,12.0,72,0.33415386235278205,0.3516666666666666,20.0,19.0,0.3547646383467279,0.1411173306556501,0.2365761443161488,0.3516666666666666,0.5,-0.6,0.0,0.3193825042881646,0.19162950257289876,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2971879086754396,0.2628206040268049,0.33415386235278205
2026,8,1,8.1,58.0,2,7.550000000000011,7.102040816326531,10.394366197183098,11.833333333333334,71,0.32785073299607426,0.365,20.0,20.0,0.3454133635334088,0.1417994200300676,0.2334630799715706,0.365,0.5,-0.5591549295774648,0.0,0.32044198895027626,0.19226519337016576,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2932558677144489,0.25867641342295056,0.32785073299607426
