segment,situation,model,pred_bin,n,matches,mean_pred,actual_wr,bias,abs_error
chase_bucket,chase_bucket=par,calibrated,"[0.9, 1.0)",722,24,0.9631015167196527,0.9695290858725761,-0.006427569152923418,0.006427569152923418
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.0, 0.1)",424,25,0.015762297280790875,0.0,0.015762297280790875,0.015762297280790875
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.1, 0.2)",56,10,0.13535926990066446,0.0,0.13535926990066446,0.13535926990066446
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.2, 0.3)",49,9,0.25151103607574027,0.0,0.25151103607574027,0.25151103607574027
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.3, 0.4)",34,8,0.34882301373535524,0.0,0.34882301373535524,0.34882301373535524
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.4, 0.5)",25,5,0.4570737496923056,0.0,0.4570737496923056,0.4570737496923056
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.5, 0.6)",14,3,0.5453772458797924,0.0,0.5453772458797924,0.5453772458797924
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.6, 0.7)",10,2,0.6394055104712303,0.0,0.6394055104712303,0.6394055104712303
phase_x_chase_bucket,phase=death|chase_bucket=high,raw,"[0.9, 1.0)",153,9,0.9698215881461644,1.0,-0.03017841185383563,0.03017841185383563
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.0, 0.1)",434,25,0.011457087802921574,0.0,0.011457087802921574,0.011457087802921574
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.1, 0.2)",31,12,0.15415961152606827,0.0,0.15415961152606827,0.15415961152606827
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.2, 0.3)",24,10,0.2588300788110027,0.0,0.2588300788110027,0.2588300788110027
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.3, 0.4)",76,8,0.3492334008587494,0.0,0.3492334008587494,0.3492334008587494
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.4, 0.5)",18,5,0.42135537231344133,0.0,0.42135537231344133,0.42135537231344133
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.5, 0.6)",23,4,0.5420058468820586,0.0,0.5420058468820586,0.5420058468820586
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.8, 0.9)",13,5,0.8497377145494986,0.8461538461538461,0.003583868395652501,0.003583868395652501
phase_x_chase_bucket,phase=death|chase_bucket=high,calibrated,"[0.9, 1.0)",142,9,0.9578962331467232,1.0,-0.04210376685327677,0.04210376685327677
phase_x_chase_bucket,phase=death|chase_bucket=low,raw,"[0.8, 0.9)",12,3,0.837569958946616,1.0,-0.162430041053384,0.162430041053384
phase_x_chase_bucket,phase=death|chase_bucket=low,raw,"[0.9, 1.0)",113,11,0.9771758022425739,1.0,-0.022824197757426057,0.022824197757426057
phase_x_chase_bucket,phase=death|chase_bucket=low,calibrated,"[0.8, 0.9)",10,3,0.8480113674641789,1.0,-0.15198863253582107,0.15198863253582107
phase_x_chase_bucket,phase=death|chase_bucket=low,calibrated,"[0.9, 1.0)",82,11,0.9593688973217417,1.0,-0.04063110267825831,0.04063110267825831
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.0, 0.1)",186,12,0.026447225495796166,0.053763440860215055,-0.02731621536441889,0.02731621536441889
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.1, 0.2)",40,6,0.1369682532938122,0.175,-0.03803174670618778,0.03803174670618778
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.2, 0.3)",20,7,0.2543221615288931,0.15,0.10432216152889309,0.10432216152889309
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.3, 0.4)",16,7,0.34692312313296925,0.1875,0.15942312313296925,0.15942312313296925
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.4, 0.5)",19,7,0.43552505233633687,0.47368421052631576,-0.03815915818997889,0.03815915818997889
