row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,raw_predicted_prob,calibration_key,calibration_source,calibrated_predicted_prob,route_source,route_reason,baseline_predicted_prob,cluster_predicted_prob,dominant_cluster_threshold,regime_confidence_threshold,pp_influence_cap,confidence_strength,wrong_direction
1359489:2:4:6,1359489,2023,2023-04-10,2,4,6,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.0,0.09006613294706538,5,pressure_state,stable,0.12528583001564714,0.11255156157925751,3394,regime_cluster_features,holdout,0.026270824568558972,0,0.973729175431441,False,0.026270824568558972,,,,,,,,,,,0.973729175431441,false_negative
1473441:2:1:6,1473441,2025,2025-03-24,2,1,6,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,18.0,0.14001599100446382,3,pressure_state,stable,0.11087882153001147,0.2932673002275465,7471,regime_cluster_features,holdout,0.031503028175629486,0,0.9684969718243706,False,0.031503028175629486,,,,,,,,,,,0.9684969718243706,false_negative
1426277:2:4:6,1426277,2024,2024-04-23,2,4,6,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,15.0,0.1232204927776986,5,pressure_state,stable,0.1352381421176646,0.11255156157925751,3394,regime_cluster_features,holdout,0.034017050380891214,0,0.9659829496191088,False,0.034017050380891214,,,,,,,,,,,0.9659829496191088,false_negative
1473441:2:2:6,1473441,2025,2025-03-24,2,2,6,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,17.0,0.15156744896472024,3,pressure_state,stable,0.12210860554101856,0.2932673002275465,7471,regime_cluster_features,holdout,0.03931192505358766,0,0.9606880749464124,False,0.03931192505358766,,,,,,,,,,,0.9606880749464124,false_negative
1426277:2:1:6,1426277,2024,2024-04-23,2,1,6,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,18.0,0.2081620873990106,1,pressure_state,stable,0.14392566915221822,0.5001420858198352,7038,regime_cluster_features,holdout,0.042421993239526994,0,0.957578006760473,False,0.042421993239526994,,,,,,,,,,,0.957578006760473,false_negative
1359489:2:3:6,1359489,2023,2023-04-10,2,3,6,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,16.0,0.1169851453234371,5,pressure_state,stable,0.12131175697189843,0.11255156157925751,3394,regime_cluster_features,holdout,0.04982692817109784,0,0.9501730718289022,False,0.04982692817109784,,,,,,,,,,,0.9501730718289022,false_negative
1473468:2:4:6,1473468,2025,2025-04-15,2,4,6,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,15.0,0.999,4,pressure_state,stable,0.19587331191185006,0.8426938369781312,4024,regime_cluster_features,holdout,0.9485159746667424,1,0.9485159746667424,False,0.9485159746667424,,,,,,,,,,,0.9485159746667424,false_positive
1359504:2:4:6,1359504,2023,2023-04-22,2,4,6,powerplay,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,0,15.0,0.9665895233568227,1,pressure_state,stable,0.15394347469757924,0.5001420858198352,7038,regime_cluster_features,holdout,0.9457532431469828,1,0.9457532431469828,False,0.9457532431469828,,,,,,,,,,,0.9457532431469828,false_positive
1426277:2:2:6,1426277,2024,2024-04-23,2,2,6,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,17.0,0.20802691115277733,1,pressure_state,stable,0.14883292055263614,0.5001420858198352,7038,regime_cluster_features,holdout,0.055942750283965795,0,0.9440572497160342,False,0.055942750283965795,,,,,,,,,,,0.9440572497160342,false_negative
1426277:2:3:6,1426277,2024,2024-04-23,2,3,6,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,16.0,0.1855094005164783,1,pressure_state,stable,0.15026974814002814,0.5001420858198352,7038,regime_cluster_features,holdout,0.059677946536128,0,0.940322053463872,False,0.059677946536128,,,,,,,,,,,0.940322053463872,false_negative
1359497:2:2:6,1359497,2023,2023-04-16,2,2,6,powerplay,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,1,17.0,0.19663210226376424,3,pressure_state,stable,0.1341445164223092,0.2932673002275465,7471,regime_cluster_features,holdout,0.06183971220230869,0,0.9381602877976913,False,0.06183971220230869,,,,,,,,,,,0.9381602877976913,false_negative
1359516:2:1:6,1359516,2023,2023-04-30,2,1,6,powerplay,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,18.0,0.22456742144134517,1,pressure_state,stable,0.13073150495208527,0.5001420858198352,7038,regime_cluster_features,holdout,0.06187091504322061,0,0.9381290849567794,False,0.06187091504322061,,,,,,,,,,,0.9381290849567794,false_negative
1426280:2:1:6,1426280,2024,2024-04-26,2,1,6,powerplay,Punjab Kings,Kolkata Knight Riders,Punjab Kings,1,18.0,0.06268473049381154,1,pressure_state,stable,0.11442375731602286,0.5001420858198352,7038,regime_cluster_features,holdout,0.06335582481953062,0,0.9366441751804694,False,0.06335582481953062,,,,,,,,,,,0.9366441751804694,false_negative
1473468:2:3:6,1473468,2025,2025-04-15,2,3,6,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.0,0.985114048681383,4,pressure_state,stable,0.17324729996026203,0.8426938369781312,4024,regime_cluster_features,holdout,0.9354848562475631,1,0.9354848562475631,False,0.9354848562475631,,,,,,,,,,,0.9354848562475631,false_positive
1473441:2:3:6,1473441,2025,2025-03-24,2,3,6,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,16.0,0.20688100435448997,1,pressure_state,stable,0.11275928348264003,0.5001420858198352,7038,regime_cluster_features,holdout,0.06943302002512594,0,0.930566979974874,False,0.06943302002512594,,,,,,,,,,,0.930566979974874,false_negative
