bucket,n,mean_pred,actual_wr,cal_error,candidate
60-70,1106,0.6454348544055446,0.6600361663652803,0.014601311959735686,recent_2022_global_isotonic
70-80,2733,0.7440076839903993,0.8858397365532382,0.14183205256283893,recent_2022_global_isotonic
80+,4737,0.9440220888489794,0.9512349588347055,0.0072128699857261225,recent_2022_global_isotonic
50-60,1372,0.5537089158478913,0.5852769679300291,0.031568052082137865,recent_2022_global_platt_blend_0.25
60-70,1427,0.6525993049066119,0.7302032235459005,0.07760391863928862,recent_2022_global_platt_blend_0.25
70-80,2003,0.7547972864976032,0.8846729905142287,0.1298757040166254,recent_2022_global_platt_blend_0.25
80+,5245,0.9369222606448415,0.9454718779790277,0.008549617334186133,recent_2022_global_platt_blend_0.25
50-60,1364,0.552312127221097,0.5909090909090909,0.038596963687993924,recent_2022_global_platt_blend_0.50
60-70,1542,0.6512314377323142,0.7367055771725033,0.08547413944018911,recent_2022_global_platt_blend_0.50
70-80,2063,0.7556188177416782,0.8914202617547261,0.13580144401304794,recent_2022_global_platt_blend_0.50
80+,5078,0.9379221415217796,0.9468294604174872,0.008907318895707617,recent_2022_global_platt_blend_0.50
50-60,1442,0.5538073713623365,0.5943134535367545,0.04050608217441798,recent_2022_global_platt_blend_0.75
60-70,1551,0.6517546601295008,0.754996776273372,0.10324211614387124,recent_2022_global_platt_blend_0.75
70-80,2050,0.7539069929802962,0.8921951219512195,0.13828812897092335,recent_2022_global_platt_blend_0.75
80+,5004,0.9365986529604539,0.9486410871302957,0.012042434169841854,recent_2022_global_platt_blend_0.75
50-60,1382,0.5564259384208814,0.5882778581765558,0.03185191975567436,recent_2022_global_isotonic_blend_0.25
60-70,1180,0.6479005363977447,0.711864406779661,0.06396387038191631,recent_2022_global_isotonic_blend_0.25
70-80,2354,0.7529152239726123,0.8776550552251486,0.12473983125253629,recent_2022_global_isotonic_blend_0.25
80+,5131,0.939738010410941,0.946793997271487,0.007055986860546093,recent_2022_global_isotonic_blend_0.25
50-60,1406,0.5582803416105824,0.5953058321479374,0.037025490537355044,recent_2022_global_isotonic_blend_0.50
60-70,1042,0.64105968503223,0.6861804222648752,0.0451207372326452,recent_2022_global_isotonic_blend_0.50
70-80,2686,0.7505639672594004,0.8808637379002234,0.130299770640823,recent_2022_global_isotonic_blend_0.50
80+,4913,0.9426368692234528,0.9483004274374109,0.005663558213958142,recent_2022_global_isotonic_blend_0.50
50-60,1457,0.5607342171882853,0.6012354152367879,0.04050119804850261,recent_2022_global_isotonic_blend_0.75
60-70,1121,0.647038029679715,0.6904549509366636,0.043416921256948626,recent_2022_global_isotonic_blend_0.75
70-80,2731,0.7502122549269684,0.8861222995239839,0.1359100445970155,recent_2022_global_isotonic_blend_0.75
80+,4738,0.945846709773399,0.9512452511608274,0.005398541387428346,recent_2022_global_isotonic_blend_0.75
50-60,1536,0.5537485820154043,0.5963541666666666,0.042605584651262296,recent_2022_global_symmetric_temperature
60-70,1488,0.6538424979183324,0.7379032258064516,0.08406072788811925,recent_2022_global_symmetric_temperature
70-80,2096,0.7491905396573547,0.896469465648855,0.14727892599150028,recent_2022_global_symmetric_temperature
80+,4927,0.934460239590824,0.9474325147148366,0.012972275124012556,recent_2022_global_symmetric_temperature
50-60,1343,0.5600524672565889,0.5718540580789278,0.011801590822338892,recent_2022_global_symmetric_platt
60-70,1562,0.6510787358165291,0.737516005121639,0.08643726930510987,recent_2022_global_symmetric_platt
70-80,2201,0.7493393941830175,0.8900499772830531,0.1407105831000356,recent_2022_global_symmetric_platt
80+,4941,0.9327918253657626,0.9475814612426634,0.014789635876900853,recent_2022_global_symmetric_platt
50-60,1128,0.5471279366956451,0.5833333333333334,0.03620539663768829,recent_2022_global_symmetric_isotonic
60-70,1444,0.6397375873054643,0.695983379501385,0.05624579219592074,recent_2022_global_symmetric_isotonic
70-80,3137,0.7517232556494243,0.8849218999043672,0.13319864425494288,recent_2022_global_symmetric_isotonic
80+,4338,0.9521149977413882,0.9536652835408023,0.001550285799414075,recent_2022_global_symmetric_isotonic
50-60,1340,0.5554202122518858,0.5708955223880597,0.015475310136173981,recent_2022_global_symmetric_platt_blend_0.25
60-70,1321,0.6490227730586813,0.7267221801665406,0.07769940710785928,recent_2022_global_symmetric_platt_blend_0.25
70-80,2127,0.751587371089589,0.8763516690173954,0.12476429792780641,recent_2022_global_symmetric_platt_blend_0.25
80+,5259,0.9361217897253618,0.9454268872409203,0.009305097515558525,recent_2022_global_symmetric_platt_blend_0.25
50-60,1342,0.5569988019026876,0.5715350223546944,0.014536220452006865,recent_2022_global_symmetric_platt_blend_0.50
60-70,1483,0.6527836578844106,0.7336480107889414,0.08086435290453076,recent_2022_global_symmetric_platt_blend_0.50
70-80,2094,0.753596829443589,0.8829990448901623,0.12940221544657338,recent_2022_global_symmetric_platt_blend_0.50
80+,5128,0.9355937927619629,0.9471528861154446,0.011559093353481709,recent_2022_global_symmetric_platt_blend_0.50
50-60,1343,0.5585416753678636,0.5718540580789278,0.013312382711064163,recent_2022_global_symmetric_platt_blend_0.75
60-70,1529,0.6521963292301587,0.736429038587312,0.08423270935715332,recent_2022_global_symmetric_platt_blend_0.75
