row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,confidence_strength,wrong_direction
1359489:2:3:2,1359489,2023,2023-04-10,2,3,2,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,16.666666666666668,0.146497118793624,3,pressure_state,stable,0.11430267354521766,0.5326319319277361,47714,regime_cluster_features,holdout,0.05242222265274363,0,0.9475777773472563,False,0.9475777773472563,false_negative
1473468:2:2:2,1473468,2025,2025-04-15,2,2,2,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,17.666666666666668,0.9671761701180124,3,pressure_state,stable,0.1227485508923785,0.5326319319277361,47714,regime_cluster_features,holdout,0.9474383250841469,1,0.9474383250841469,False,0.9474383250841469,false_positive
1359489:2:3:1,1359489,2023,2023-04-10,2,3,1,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,16.833333333333332,0.15155959357961485,0,pressure_state,stable,0.11923355079026011,0.12566037735849056,23850,regime_cluster_features,holdout,0.05260536949184267,0,0.9473946305081573,False,0.9473946305081573,false_negative
1359487:2:4:2,1359487,2023,2023-04-09,2,4,2,powerplay,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,1,15.666666666666666,0.18282789630710305,0,pressure_state,stable,0.13649014693723638,0.12566037735849056,23850,regime_cluster_features,holdout,0.05290825321988728,0,0.9470917467801128,False,0.9470917467801128,false_negative
1473468:2:3:5,1473468,2025,2025-04-15,2,3,5,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.166666666666668,0.951229562271149,3,pressure_state,stable,0.13042134010384623,0.5326319319277361,47714,regime_cluster_features,holdout,0.9467158937517539,1,0.9467158937517539,False,0.9467158937517539,false_positive
1473441:2:3:6,1473441,2025,2025-03-24,2,3,6,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,16.0,0.20688100435448997,0,pressure_state,stable,0.11323932806174726,0.12566037735849056,23850,regime_cluster_features,holdout,0.053437380930159074,0,0.946562619069841,False,0.946562619069841,false_negative
1359520:2:1:1,1359520,2023,2023-05-03,2,1,1,powerplay,Mumbai Indians,Punjab Kings,Mumbai Indians,1,18.833333333333332,0.20915819988178155,3,pressure_state,stable,0.13233543380256999,0.5326319319277361,47714,regime_cluster_features,holdout,0.05359647216250177,0,0.9464035278374983,False,0.9464035278374983,false_negative
1359489:2:2:6,1359489,2023,2023-04-10,2,2,6,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,17.0,0.1566422798450489,3,pressure_state,stable,0.11968271880630589,0.5326319319277361,47714,regime_cluster_features,holdout,0.05361940865602246,0,0.9463805913439776,False,0.9463805913439776,false_negative
1359487:2:4:1,1359487,2023,2023-04-09,2,4,1,powerplay,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,1,15.833333333333334,0.18941813414244008,0,pressure_state,stable,0.13632734684679856,0.12566037735849056,23850,regime_cluster_features,holdout,0.05381389464761496,0,0.946186105352385,False,0.946186105352385,false_negative
1473441:2:5:5,1473441,2025,2025-03-24,2,5,5,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,14.166666666666666,0.23644784965477078,0,pressure_state,stable,0.13303544532943484,0.12566037735849056,23850,regime_cluster_features,holdout,0.05385999026452984,0,0.9461400097354702,False,0.9461400097354702,false_negative
1359489:2:1:3,1359489,2023,2023-04-10,2,1,3,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,18.5,0.20116119484838066,3,pressure_state,stable,0.11672171908782893,0.5326319319277361,47714,regime_cluster_features,holdout,0.05423290088917708,0,0.9457670991108229,False,0.9457670991108229,false_negative
1359487:2:4:3,1359487,2023,2023-04-09,2,4,3,powerplay,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,1,15.5,0.17632638194640587,0,pressure_state,stable,0.14565847814672658,0.12566037735849056,23850,regime_cluster_features,holdout,0.05436063667723855,0,0.9456393633227614,False,0.9456393633227614,false_negative
1359489:2:1:4,1359489,2023,2023-04-10,2,1,4,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,18.333333333333332,0.19659216514372246,3,pressure_state,stable,0.11555795330347296,0.5326319319277361,47714,regime_cluster_features,holdout,0.05471051523630324,0,0.9452894847636968,False,0.9452894847636968,false_negative
1359489:2:1:2,1359489,2023,2023-04-10,2,1,2,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,18.666666666666668,0.2054738839407087,3,pressure_state,stable,0.11094389761846225,0.5326319319277361,47714,regime_cluster_features,holdout,0.054888004068254656,0,0.9451119959317453,False,0.9451119959317453,false_negative
