feature,importance,method,fold
bowling_team_situation_wr,0.023244211,baseline_v6_features,3
team_strength_diff,0.023078693,baseline_v6_features,3
inn1_defendability,0.022851098,baseline_v6_features,3
inn1_death_rr,0.021967849,baseline_v6_features,3
bowling_team_win_rate,0.021888638,baseline_v6_features,3
required_run_rate,0.021880904,baseline_v6_features,3
batting_team_situation_wr,0.021528745,baseline_v6_features,3
situation_advantage,0.02151971,baseline_v6_features,3
batting_team_win_rate,0.020492177,baseline_v6_features,3
projected_score,0.019010138,baseline_v6_features,3
projected_vs_venue_avg,0.01892103,baseline_v6_features,3
score_per_wicket,0.016414419,baseline_v6_features,3
pressure_index,0.01395191,baseline_v6_features,3
rrr_times_wickets,0.013043511,baseline_v6_features,3
chase_difficulty,0.011726849,baseline_v6_features,3
overs_remaining,0.011531461,baseline_v6_features,3
wickets_times_balls,0.009699797,baseline_v6_features,3
runs_last_18,0.00828822,baseline_v6_features,3
runs_last_12,0.007247696,baseline_v6_features,3
wickets_last_12,0.00526498,baseline_v6_features,3
boundary_pct_last_18,0.0031481504,baseline_v6_features,3
is_powerplay,0.002459083,baseline_v6_features,3
resource_win_prob,0.20628864,augmented_all_candidates,3
dls_pressure_index,0.110233776,augmented_all_candidates,3
score_vs_par,0.058900174,augmented_all_candidates,3
run_rate_diff,0.030135324,augmented_all_candidates,3
expected_final_score,0.023633758,augmented_all_candidates,3
venue_chase_success,0.022071682,augmented_all_candidates,3
target_above_par,0.020722704,augmented_all_candidates,3
required_run_rate,0.020659154,augmented_all_candidates,3
batting_won_toss,0.020395307,augmented_all_candidates,3
hs_i2_target_above_par_x_wickets,0.01985201,augmented_all_candidates,3
inn1_defendability,0.019682288,augmented_all_candidates,3
hs_i2death_dls_x_chase_difficulty,0.01917459,augmented_all_candidates,3
team_strength_diff,0.019122295,augmented_all_candidates,3
inn1_pp_runs,0.019066665,augmented_all_candidates,3
inn1_wickets_lost,0.018768538,augmented_all_candidates,3
bowling_team_win_rate,0.018573394,augmented_all_candidates,3
projected_score,0.018501194,augmented_all_candidates,3
batting_team_situation_wr,0.018411634,augmented_all_candidates,3
bowling_team_situation_wr,0.018237805,augmented_all_candidates,3
inn1_death_rr,0.018230438,augmented_all_candidates,3
situation_advantage,0.01815041,augmented_all_candidates,3
hs_i2pp_target_x_early_wicket_shock,0.017334213,augmented_all_candidates,3
projected_vs_venue_avg,0.016632298,augmented_all_candidates,3
hs_i2_inn1_def_x_required_rr,0.016432755,augmented_all_candidates,3
batting_team_win_rate,0.015903244,augmented_all_candidates,3
hs_i2pp_target_above_par_x_wickets,0.014495671,augmented_all_candidates,3
score_per_wicket,0.013518165,augmented_all_candidates,3
rrr_times_wickets,0.011837444,augmented_all_candidates,3
hs_i1death_score_vs_par_x_wih,0.011085212,augmented_all_candidates,3
chase_difficulty,0.009989389,augmented_all_candidates,3
pressure_index,0.009828459,augmented_all_candidates,3
hs_i1death_expected_final_x_wih,0.009229794,augmented_all_candidates,3
hs_i2pp_inn1_def_x_batting_wr,0.0088654645,augmented_all_candidates,3
hs_i1death_boundary_x_wih,0.008666901,augmented_all_candidates,3
hs_i1death_projected_vs_venue_x_wih,0.008539912,augmented_all_candidates,3
hs_i1death_bowling_situation_x_wih,0.008163636,augmented_all_candidates,3
wickets_times_balls,0.007939561,augmented_all_candidates,3
hs_i2mid_dls_x_resource,0.0076704267,augmented_all_candidates,3
runs_last_18,0.00757102,augmented_all_candidates,3
wickets_last_12,0.007234561,augmented_all_candidates,3
overs_remaining,0.0070077814,augmented_all_candidates,3
runs_last_12,0.006976755,augmented_all_candidates,3
hs_i2pp_target_above_par_x_venue_chase,0.0065003536,augmented_all_candidates,3
hs_i2death_target_x_venue_chase,0.006376917,augmented_all_candidates,3
hs_i2_resource_pressure,0.0054891254,augmented_all_candidates,3
hs_i2pp_early_chase_wicket_shock,0.0051052286,augmented_all_candidates,3
hs_i2pp_required_minus_current_rr,0.0049298434,augmented_all_candidates,3
boundary_pct_last_18,0.002975786,augmented_all_candidates,3
hs_i1death_resource_pressure,0.0029413092,augmented_all_candidates,3
is_powerplay,0.001946913,augmented_all_candidates,3
hs_i1death_wickets_in_hand,0.0,augmented_all_candidates,3
resource_win_prob,0.20327757,augmented_horseshoe_selected,3
dls_pressure_index,0.11074126,augmented_horseshoe_selected,3
score_vs_par,0.06401559,augmented_horseshoe_selected,3
run_rate_diff,0.036730424,augmented_horseshoe_selected,3
expected_final_score,0.023653738,augmented_horseshoe_selected,3
venue_chase_success,0.02180792,augmented_horseshoe_selected,3
target_above_par,0.021364965,augmented_horseshoe_selected,3
hs_i2death_dls_x_chase_difficulty,0.020500636,augmented_horseshoe_selected,3
hs_i2_target_above_par_x_wickets,0.020369073,augmented_horseshoe_selected,3
inn1_wickets_lost,0.020286312,augmented_horseshoe_selected,3
team_strength_diff,0.019992791,augmented_horseshoe_selected,3
inn1_pp_runs,0.019844403,augmented_horseshoe_selected,3
batting_won_toss,0.019782802,augmented_horseshoe_selected,3
inn1_defendability,0.019430432,augmented_horseshoe_selected,3
bowling_team_situation_wr,0.019090356,augmented_horseshoe_selected,3
hs_i2pp_target_above_par_x_wickets,0.01899141,augmented_horseshoe_selected,3
projected_score,0.018164355,augmented_horseshoe_selected,3
situation_advantage,0.018113973,augmented_horseshoe_selected,3
inn1_death_rr,0.018051242,augmented_horseshoe_selected,3
hs_i2pp_target_x_early_wicket_shock,0.018014137,augmented_horseshoe_selected,3
batting_team_situation_wr,0.017855352,augmented_horseshoe_selected,3
bowling_team_win_rate,0.01773908,augmented_horseshoe_selected,3
batting_team_win_rate,0.017185125,augmented_horseshoe_selected,3
required_run_rate,0.017060809,augmented_horseshoe_selected,3
projected_vs_venue_avg,0.015851809,augmented_horseshoe_selected,3
score_per_wicket,0.014143073,augmented_horseshoe_selected,3
pressure_index,0.013340541,augmented_horseshoe_selected,3
hs_i1death_expected_final_x_wih,0.010853108,augmented_horseshoe_selected,3
hs_i1death_score_vs_par_x_wih,0.010762588,augmented_horseshoe_selected,3
wickets_last_12,0.010627991,augmented_horseshoe_selected,3
hs_i1death_projected_vs_venue_x_wih,0.010448429,augmented_horseshoe_selected,3
chase_difficulty,0.010290026,augmented_horseshoe_selected,3
hs_i2pp_inn1_def_x_batting_wr,0.008962063,augmented_horseshoe_selected,3
wickets_times_balls,0.008339401,augmented_horseshoe_selected,3
rrr_times_wickets,0.0074120197,augmented_horseshoe_selected,3
overs_remaining,0.0072747176,augmented_horseshoe_selected,3
hs_i1death_bowling_situation_x_wih,0.0069526723,augmented_horseshoe_selected,3
runs_last_18,0.0068770647,augmented_horseshoe_selected,3
hs_i2pp_early_chase_wicket_shock,0.0068630865,augmented_horseshoe_selected,3
hs_i2mid_dls_x_resource,0.0065888404,augmented_horseshoe_selected,3
hs_i1death_wickets_in_hand,0.0065542385,augmented_horseshoe_selected,3
hs_i2death_target_x_venue_chase,0.0060362183,augmented_horseshoe_selected,3
runs_last_12,0.00587883,augmented_horseshoe_selected,3
hs_i1death_resource_pressure,0.0054573137,augmented_horseshoe_selected,3
hs_i2pp_target_above_par_x_venue_chase,0.0054527773,augmented_horseshoe_selected,3
hs_i2pp_required_minus_current_rr,0.0051499414,augmented_horseshoe_selected,3
hs_i2_resource_pressure,0.004930426,augmented_horseshoe_selected,3
boundary_pct_last_18,0.0028890048,augmented_horseshoe_selected,3
is_powerplay,0.0,augmented_horseshoe_selected,3
