version,segment,target_bucket,n,brier,logloss,mean_pred,actual_wr,gap_pp
delta_pp_only,full_mid_7_15,all,5050,0.10369643442532964,0.33743639485447835,0.520358771371,0.5376237623762377,-1.7264991005237706
delta_pp_only,full_mid_7_15,above_par_hard,2089,0.07498730987442456,0.2612079092901446,0.3184650046120089,0.26807084729535663,5.039415731665225
delta_pp_only,full_mid_7_15,below_par_easy,1010,0.14001044803245266,0.4451754511674186,0.7932377012726899,0.9504950495049505,-15.725734823226055
delta_pp_only,full_mid_7_15,par,1951,0.1156370840632827,0.3632820429671507,0.5952682329593266,0.6125064069707842,-1.7238174011457552
delta_pp_only,death_16_20,all,1516,0.06493365551031245,0.2101839796801359,0.4305886123090453,0.40369393139841686,2.689468091062847
delta_pp_only,death_16_20,above_par_hard,775,0.03542532084581636,0.1267623423231447,0.28517255939313557,0.20516129032258065,8.001126907055491
delta_pp_only,death_16_20,below_par_easy,163,0.09087131996525329,0.27630881367813254,0.8355279517977966,1.0,-16.44720482022034
delta_pp_only,death_16_20,par,578,0.0971847282764528,0.3033905904240714,0.5113711878681519,0.5017301038062284,0.9641084061923544
replace_all,overall,all,10047,0.11141841119463926,0.3795111116754989,0.49018221665563755,0.5205533990245844,-3.037118236894687
replace_all,overall,above_par_hard,4258,0.0842587096183025,0.2772093276871627,0.30041488396195787,0.2576326914044152,4.2782192557542675
replace_all,overall,below_par_easy,1953,0.1428021061215457,0.5758543370400537,0.7862239758702341,0.9559651817716334,-16.97412059013993
replace_all,overall,par,3836,0.12558776810803698,0.3931040931888878,0.5501039442008884,0.5907194994786236,-4.061555527773519
replace_all,pp_0_6,all,3481,0.14078902802364981,0.5082274991044232,0.4721974885674446,0.5466819879345016,-7.448449936705703
replace_all,pp_0_6,above_par_hard,1394,0.12328853022969853,0.38109484092422663,0.2792742086866917,0.27116212338593976,0.811208530075197
replace_all,pp_0_6,below_par_easy,780,0.15382129036397918,0.7927808013129707,0.7687371978676492,0.9538461538461539,-18.510895597850475
replace_all,pp_0_6,par,1307,0.15167696168800415,0.47400511944147533,0.5009917340912473,0.5975516449885233,-9.6559910897276
replace_all,early_mid_7_12,all,3418,0.11775229311332783,0.3787358230952041,0.5158067976140341,0.5430076067875951,-2.7200809173560936
replace_all,early_mid_7_12,above_par_hard,1388,0.08612254296387496,0.2920105305443915,0.3141511337460891,0.2665706051873199,4.758052855876921
replace_all,early_mid_7_12,below_par_easy,726,0.15465538973521825,0.4961334434838883,0.7785761733580452,0.9490358126721763,-17.045963931413112
replace_all,early_mid_7_12,par,1304,0.13087380006114083,0.40568676915221563,0.5841561033337854,0.6111963190184049,-2.704021568461945
replace_all,late_mid_13_15,all,1632,0.07868713915884035,0.2638788346119772,0.5302336412565164,0.5263480392156863,0.3885602040830105
replace_all,late_mid_13_15,above_par_hard,701,0.056942455242747644,0.2076457594115755,0.332108162384474,0.2710413694721826,6.106679291229139
replace_all,late_mid_13_15,below_par_easy,284,0.1120424953146839,0.3557861923108073,0.8255037061155606,0.954225352112676,-12.872164599711544
replace_all,late_mid_13_15,par,647,0.08760538069967716,0.2844625998809321,0.6152865968505399,0.615146831530139,0.01397653204008309
replace_all,full_mid_7_15,all,5050,0.10512767306308554,0.3416176834507237,0.520469096391169,0.5376237623762377,-1.7154665985068651
replace_all,full_mid_7_15,above_par_hard,2089,0.07633066096650291,0.26370047570279076,0.3201769245912341,0.26807084729535663,5.210607729587746
replace_all,full_mid_7_15,below_par_easy,1010,0.14267315011597886,0.45666946394611113,0.7917716380146139,0.9504950495049505,-15.872341149033653
replace_all,full_mid_7_15,par,1951,0.11652491880698038,0.36548582731801754,0.5944797472627141,0.6125064069707842,-1.8026659708070047
replace_all,death_16_20,all,1516,0.06493365551031245,0.2101839796801359,0.4305886123090453,0.40369393139841686,2.689468091062847
replace_all,death_16_20,above_par_hard,775,0.03542532084581636,0.1267623423231447,0.28517255939313557,0.20516129032258065,8.001126907055491
replace_all,death_16_20,below_par_easy,163,0.09087131996525329,0.27630881367813254,0.8355279517977966,1.0,-16.44720482022034
replace_all,death_16_20,par,578,0.0971847282764528,0.3033905904240714,0.5113711878681519,0.5017301038062284,0.9641084061923544
replace_mid_only,overall,all,10047,0.11246954891244974,0.3764127729914029,0.4900184702845354,0.5205533990245844,-3.053492874004904
replace_mid_only,overall,above_par_hard,4258,0.08604093673797208,0.28150215615984736,0.2995368569377198,0.2576326914044152,4.190416553330461
