method,split,segment,n,brier,ece,log_loss
baseline_ipl_v6_features,oof_fold_3,innings_2_death,60,0.18467525520760814,0.12637224571084,0.543112066724966
mc_standalone_calibrated,oof_fold_3,overall,579,0.23158401881786525,0.08904183931742621,0.6484390388806357
mc_standalone_calibrated,oof_fold_3,innings_1,306,0.239663827616212,0.06009305958368954,0.6721079753996102
mc_standalone_calibrated,oof_fold_3,innings_1_powerplay,85,0.24770591879925413,0.06998900349409914,0.6896786557235309
mc_standalone_calibrated,oof_fold_3,innings_1_middle,147,0.23404819356786682,0.08240954504247633,0.6592015750021688
mc_standalone_calibrated,oof_fold_3,innings_1_death,74,0.24158167159659252,0.08691538554461356,0.6775638271684029
mc_standalone_calibrated,oof_fold_3,innings_2,273,0.22252752983510296,0.17214029674040882,0.6219090221231038
mc_standalone_calibrated,oof_fold_3,innings_2_powerplay,80,0.2279949685119731,0.20425730355342045,0.6295754357885597
mc_standalone_calibrated,oof_fold_3,innings_2_middle,133,0.2330515799510668,0.19291156546276234,0.6330811257814967
mc_standalone_calibrated,oof_fold_3,innings_2_death,60,0.1919093005088896,0.18932323785835853,0.5869223074597254
ml_add_mc_win_prob,oof_fold_3,overall,579,0.2013453448298524,0.0488559920432615,0.5849716754565087
ml_add_mc_win_prob,oof_fold_3,innings_1,306,0.2160820334193924,0.05177302239909175,0.6225095420221148
ml_add_mc_win_prob,oof_fold_3,innings_1_powerplay,85,0.25149284282077133,0.1468980450516498,0.6994859904284467
ml_add_mc_win_prob,oof_fold_3,innings_1_middle,147,0.20871403616146428,0.07012890456342614,0.6065480840844301
ml_add_mc_win_prob,oof_fold_3,innings_1_death,74,0.19004388203828737,0.07842023579789728,0.5657978690802429
ml_add_mc_win_prob,oof_fold_3,innings_2,273,0.1848272982789394,0.12506116383242943,0.5428962645807743
ml_add_mc_win_prob,oof_fold_3,innings_2_powerplay,80,0.16921320612962443,0.1547414960271106,0.5101602463593414
ml_add_mc_win_prob,oof_fold_3,innings_2_middle,133,0.20261306229852066,0.19903957725025317,0.5875789501190605
ml_add_mc_win_prob,oof_fold_3,innings_2_death,60,0.1662209775679541,0.1268994897778682,0.4874976692661503
